"Town","Furnished","Price.Cat"
"Stansted","No","£551-600"
"Sawbridgeworth","No","£551-600"
"Stansted","No","£601-650"
"Stansted","Yes","£651+"
"Stansted","No","£551-600"
"Sawbridgeworth","No","£551-600"
"Sawbridgeworth","No","£601-650"
"Stansted","No","£551-600"
"Bishops Stortford","No","£651+"
"Sawbridgeworth","No","£551-600"
"Stansted","No","£601-650"
"Old Harlow","Yes","£601-650"
"Bishops Stortford","No","£551-600"
"Bishops Stortford","Yes","£551-600"
"Bishops Stortford","No","£551-600"
"Harlow",,"£601-650"
"Stansted","Yes","£500-550"
"Bishops Stortford","No","£551-600"
"Stansted",,"£500-550"
"Bishops Stortford",,"£601-650"
"Bishops Stortford","No","£551-600"
"Sawbridgeworth","No","£500-550"
"Sawbridgeworth","No","£551-600"
"Stansted","Yes","£500-550"
"Bishops Stortford","No","£651+"
"Bishops Stortford","Yes","£601-650"
"Sawbridgeworth","No","£500-550"
"Bishops Stortford","No","£651+"
"Bishops Stortford","Yes","£551-600"
"Sawbridgeworth","No","£601-650"
"Bishops Stortford","No","£651+"
"Sawbridgeworth","No","£651+"
